Unidade;Segmento;Item;Descrição;Modelo;Data Phase out;Substituto direto;Descrição Sust. Dir.;Substituto Indicacao;Descrição Subs. Ind.
COMUNICACAO;Centrais Telefonicas;4002014;PLACA FXC CIP92200;OEM;set/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4002015;PLACA FXS CIP92200;OEM;set/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4002017;SERVIDOR  CIP92200;OEM;mar/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4002018;PLACA FXO CIP92200;OEM;set/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4002019;PLACA FXM CIP92200;OEM;set/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4002021;PLACA 2E1 CIP92200;OEM;set/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4340000;GATEWAY GSM GW180;Interno;fev/21;4341001;Interface GW 108 3G;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4340002;GATEWAY GSM IP GW280;Interno;fev/20;4341000;Gateway GW 208 3G;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4340801;SISTEMA DE COMUNICACAO TELEF�NICA MINICOM PLUS;Interno;jun/19;4340802;COMUNICACAO TELEFONICA MINICOM;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4400020;CHAVE DE HARDWARE ICIP - 16 TRONCOS / 4 RAMAIS;Interno;abr/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4400071;PLACA TRONCO GSM 4 CANAIS IMPACTA 94/140/220/300;Interno;jun/21;4400171;Placa Tronco GSM/3G 4 Canais Impacta 94/140/220/300;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4400145;PLACA EXPANSAO GW280;Interno;ago/20;4401045;Placa Expansao 4 Troncos GW 208 3G;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4400148;Fonte de ALIMENTAÇÃO 110/220V CIP 92200;OEM;jul/22;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4400318;PLACA EXPANSAO GW180;Interno;fev/21;4401046;Placa Expansao 4 Troncos GW 108 3G;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4400334;PLACA 4 TRONCOS GSM UnniTI;Interno;fev/21;4400346;Placa Base Tronco GSM/3G UnniTI 2U/3U;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4400335;PLACA EXPANS�O 4 TRONCOS GSM UnniTI;Interno;jun/21;4400347;Placa Expans�o 4 Troncos GSM/3G UnniTI 2U/3U;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4400343;PERFIL CEGO UNNITI 2000/3000;Interno;jan/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4420003;CHAVE DE HARDWARE CIP 92200 5RIP;Interno;jan/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4420005;CHAVE DE HARDWARE CIP 92200 E1 50RIP;Interno;jan/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4420007;CHAVE DE HARDWARE CIP 92200 2E1 150RIP;Interno;jan/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4990108;PLACA COMANDOS IMPACTA 140/220;Interno;ago/21;;;;
COMUNICACAO;Centrais Telefonicas;4990109;PLACA BASE DE ACESSORIOS IMPACTA 140/220;Interno;dez/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4990109;PLACA BASE DE ACESSORIOS IMPACTA 140/220;Interno;dez/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4990520;CHAVE DE HARDWARE ICIP - 8 TRONCOS / 4 RAMAIS;Interno;abr/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4990521;CHAVE DE HARDWARE ICIP - 15 TRONCOS / 4 RAMAIS;Interno;abr/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4990522;CHAVE DE HARDWARE ICIP - 30 TRONCOS / 4 RAMAIS;Interno;abr/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;Centrais Telefonicas;4990524;CHAVE DE HARDWARE ICIP - 4 TRONCOS / 20 RAMAIS;Interno;abr/20;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;COMUNICACAO CORPORATIVA;1640255;Conjunto Tampa Plástica PT TI830i;Interno;jun/22;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica
COMUNICACAO;COMUNICACAO CORPORATIVA;1950471;CONVERSOR AUTOMATICO 12V 5A P/ GATEWAY U-SBC;OEM;set/23;4950132;CONVERSOR AUT AC/DC 12V 5A USBC KHOMP;Nao se aplica;Nao se aplica
COMUNICACAO;COMUNICACAO CORPORATIVA;1950473;GATEWAY CONTROLADOR DE SESSAO DE BORDA U-SBC KHOMP;OEM;set/23;4950131;GATEWAY CONTROLADOR DE SESSAO DE BORDA U-SBC;Nao se aplica;Nao se aplica
COMUNICACAO;COMUNICACAO CORPORATIVA;1980492;GATEWAY CONTROLADOR DE SESSAO DE BORDA UMG 104;OEM;mai/22;4950131;GATEWAY CONTROLADOR DE SESSAO DE BORDA U-SBC;Nao se aplica;Nao se aplica
COMUNICACAO;COMUNICACAO CORPORATIVA;1980495;Conversor Automático 12V 5A para Gateway UMG104-uSBC;OEM;mai/22;4950132;CONVERSOR AUT AC/DC 12V 5A USBC KHOMP;Nao se aplica;Nao se aplica
COMUNICACAO;COMUNICACAO CORPORATIVA;1980509;Licença para utilização Gateway UMG104-uSBC;OEM;mai/22;1950472;LICENCA PARA UTILIZACAO GATEWAY U-SBC;Nao se aplica;Nao se aplica
