segmento;codigo;produto;segmento_telefone;segmento_blip
800;492;EPE 1005+;varejo_energia;Varejo Energia
800;492;EPE 1006;varejo_energia;Varejo Energia
800;492;EPE 1008+;varejo_energia;Varejo Energia
800;492;EPS 301;varejo_energia;Varejo Energia
ALARMES;490;AA1000R;gtc+unidade;Segurança Defense Alarmes
ALARMES;490;AA1110T;gtc+unidade;Segurança Defense Alarmes
ALARMES;490;AA1220T;gtc+unidade;Segurança Defense Alarmes
ALARMES;454;AMT 1000 SMART;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 1004 RF;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 1016 NET;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 2008 RF;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 2010;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 2018;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 2018 E;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 2018 E 3G;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 2018 E SMART;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 2018 EG;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 2110;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 2118 EG;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 3010;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 4010 SMART;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 4010 SMART NET;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT 8000;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT Mobile V3;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT REMOTO 4.85;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT REMOTO 5;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT REMOTO 6;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;AMT REMOTO MOBILE;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;ANM 1002;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;ANM 1002 MF;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;ANM 1004 MF;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;ANM 1004 PL;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;ANM 2003;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;ANM 2004 MF;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;ANM 2008 MF;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;ANM 24 NET;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;ANM 3004 ST;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;ANM 3008 ST;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;Atuador PGM 8000;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;BOOTLOADER 1.04;seguranca_alarmes_sensores;Segurança MG
ALARMES;490;Defense IA + Alarmes;seguranca_defense_alarmes;Segurança Defense Alarmes
ALARMES;454;Defense IA Lite + Alarmes;seguranca_alarmes_sensores;Segurança MG
ALARMES;455;ELC 2001 MT;seguranca_alarmes_sensores;Segurança MG
ALARMES;455;ELC 2001 UN;seguranca_alarmes_sensores;Segurança MG
ALARMES;455;ELC 2002 DM;seguranca_alarmes_sensores;Segurança MG
ALARMES;455;ELC 3012;seguranca_alarmes_sensores;Segurança MG
ALARMES;455;ELC 4001 RF;seguranca_alarmes_sensores;Segurança MG
ALARMES;455;ELC 5001;seguranca_alarmes_sensores;Segurança MG
ALARMES;455;ELC 5002 HIGH POWER;seguranca_alarmes_sensores;Segurança MG
ALARMES;455;ELC 5003 HIGH POWER;seguranca_alarmes_sensores;Segurança MG
ALARMES;455;ELC 5112;seguranca_alarmes_sensores;Segurança MG
ALARMES;455;ELC 6012 NET;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;FXO 8000;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;GPRS 1000 UN;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;Haste Barra Chata com 4 isoladores;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;Haste Barra Chata com 6 isoladores;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;Haste Estrelada com 4 isoladores;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;Haste Estrelada com 6 isoladores;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 3015 X;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 3060 DF;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 3070 X;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 3100 DF;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 3110 X;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 5015 DIGITAL;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 5040 AT;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 5080 AT;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 7100 Dual;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 7100 Hexa;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 7100 OCTA;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 7100 Quad;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVA 9100 TRI;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;Sensor de movimento infravermelho passivo;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVP 1000 SF;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVP 2000 CF;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVP 2000 SF;seguranca_alarmes_sensores;Segurança MG
ALARMES;454;IVP 3000 CF;seguranca_alarmes_sensores;Segurança MG
